slice_file_name,fsID,start,end,salience,fold,classID,class
57320-0-0-38.wav,57320,19.0,23.0,2,1,0,air_conditioner
177621-0-0-27.wav,177621,13.5,17.5,2,1,0,air_conditioner
57320-0-0-11.wav,57320,5.5,9.5,2,1,0,air_conditioner
177621-0-0-117.wav,177621,58.5,62.5,2,1,0,air_conditioner
177621-0-0-109.wav,177621,54.5,58.5,2,1,0,air_conditioner
151977-0-0-9.wav,151977,4.966587,8.966587,1,1,0,air_conditioner
134717-0-0-6.wav,134717,3.0,7.0,1,1,0,air_conditioner
57320-0-0-34.wav,57320,17.0,21.0,2,1,0,air_conditioner
134717-0-0-2.wav,134717,1.0,5.0,1,1,0,air_conditioner
127873-0-0-0.wav,127873,0.0,2.04075,1,1,0,air_conditioner
134717-0-0-27.wav,134717,13.5,17.5,1,1,0,air_conditioner
151977-0-0-12.wav,151977,6.466587,10.466587,1,1,0,air_conditioner
57320-0-0-21.wav,57320,10.5,14.5,2,1,0,air_conditioner
151977-0-0-3.wav,151977,1.966587,5.9665870000000005,1,1,0,air_conditioner
57320-0-0-7.wav,57320,3.5,7.5,2,1,0,air_conditioner
134717-0-0-13.wav,134717,6.5,10.5,1,1,0,air_conditioner
57320-0-0-27.wav,57320,13.5,17.5,2,1,0,air_conditioner
57320-0-0-31.wav,57320,15.5,19.5,2,1,0,air_conditioner
134717-0-0-21.wav,134717,10.5,14.5,1,1,0,air_conditioner
151977-0-0-13.wav,151977,6.966587,10.966587,1,1,0,air_conditioner
177621-0-0-35.wav,177621,17.5,21.5,2,1,0,air_conditioner
57320-0-0-5.wav,57320,2.5,6.5,2,1,0,air_conditioner
151977-0-0-0.wav,151977,0.466587,4.466587,1,1,0,air_conditioner
177621-0-0-104.wav,177621,52.0,56.0,2,1,0,air_conditioner
57320-0-0-10.wav,57320,5.0,9.0,2,1,0,air_conditioner
134717-0-0-24.wav,134717,12.0,16.0,1,1,0,air_conditioner
